Date,Open,High,Low,Close,Adj Close,Volume,,Returns,Sigma day,,,
2022-09-19,"300,089996","309,839996","297,799988","309,070007","309,070007",60231200,,,"0,044312270954338",,,
2022-09-20,"306,910004","313,329987","305,579987","308,730011","308,730011",61642800,,"-0,001100061449832",,,,
2022-09-21,"308,290009","313,799988","300,630005","300,799988","300,799988",62555700,,"-0,025685947972191",Sigma year,,,
2022-09-22,"299,859985","301,290009","285,820007","288,589996","288,589996",70545400,,"-0,040591730342755","0,703435493842138",,,
2022-09-23,"283,089996","284,5","272,820007","275,329987","275,329987",63748400,,"-0,045947569852699",,,,
2022-09-26,"271,829987","284,089996","270,309998","276,01001","276,01001",58076900,,"0,002469847209196",u,d,,
2022-09-27,"283,839996","288,670013","277,51001","282,940002","282,940002",61925200,,"0,025107756055659","1,64444675388614","0,608107254088228",,
2022-09-28,"283,079987",289,"277,570007","287,809998","287,809998",54664800,,"0,017212115521226",,,,
2022-09-29,"282,76001","283,649994","265,779999","268,209991","268,209991",77620600,,"-0,06810050775234",LIBOR rate,compounding,discounting,
2022-09-30,"266,149994","275,570007","262,470001","265,25","265,25",67726600,,"-0,011036095221375","4,83%","1,012085","0,988059303319385",
2022-10-03,"254,5","255,160004","241,009995","242,399994","242,399994",98363500,,"-0,086145168708765",,,,
2022-10-04,"250,520004","257,5","242,009995","249,440002","249,440002",109578500,,"0,029042938012614",q,q_exp,,
2022-10-05,"245,009995","246,669998","233,270004","240,809998","240,809998",86982700,,"-0,034597514154927","0,389812166756694","0,401757539917623",,
2022-10-06,"239,440002","244,580002","235,350006","238,130005","238,130005",69298400,,"-0,011129076958009",,,,
2022-10-07,"233,940002","234,570007","222,020004","223,070007","223,070007",83916800,,"-0,063242756829405",S0,f_u,f_d,P CALL
2022-10-10,"223,929993","226,990005","218,360001","222,960007","222,960007",67925000,,"-0,000493118736487","184,130005","118,661984015289",0,"45,7035576069676"
2022-10-11,"220,949997","225,75",215,"216,5","216,5",77013200,,"-0,028973837447",,,,
2022-10-12,"215,330002","219,300003","211,509995","217,240005","217,240005",66860700,,"0,003418036951501",,,,
2022-10-13,"208,300003","222,990005","206,220001","221,720001","221,720001",91483000,,"0,020622334270339",,,,
2022-10-14,"224,009995","226,259995","204,160004","204,990005","204,990005",94124500,,"-0,075455511115571",,,,
2022-10-17,"210,039993","221,860001","209,449997","219,350006","219,350006",79428800,,"0,070052200837792",,,,
2022-10-18,"229,5","229,820007","217,25","220,190002","220,190002",75891900,,"0,003829477898441",,,,
2022-10-19,"219,800003","222,929993","217,779999","222,039993","222,039993",66571500,,"0,00840179382895",,,,
2022-10-20,"208,279999","215,550003",202,"207,279999","207,279999",117798100,,"-0,066474484170967",,,,
2022-10-21,"206,419998","214,660004","203,800003","214,440002","214,440002",75713800,,"0,034542662266223",,,,
2022-10-24,"205,820007","213,5","198,589996","211,25","211,25",100446800,,"-0,014875965166238",,,,
2022-10-25,"210,100006","224,350006",210,"222,419998","222,419998",96507900,,"0,052875730177515",,,,
2022-10-26,"219,399994","230,600006","218,199997","224,639999","224,639999",85012500,,"0,009981121391791",,,,
2022-10-27,"229,770004","233,809998","222,850006","225,089996","225,089996",61638800,,"0,002003191782422",,,,
2022-10-28,"225,399994","228,860001","216,350006","228,520004","228,520004",69152400,,"0,015238384916938",,,,
2022-10-31,"226,190002","229,850006","221,940002","227,539993","227,539993",61554300,,"-0,004288512965368",,,,
2022-11-01,"234,050003","237,399994","227,279999","227,820007","227,820007",62688800,,"0,001230614435327",,,,
2022-11-02,"226,039993","227,869995","214,820007","214,979996","214,979996",63070300,,"-0,056360330987085",,,,
2022-11-03,"211,360001","221,199997","210,139999","215,309998","215,309998",56538800,,"0,001535035845847",,,,
2022-11-04,"222,600006","223,800003","203,080002","207,470001","207,470001",98622200,,"-0,036412600774814",,,,
2022-11-07,"208,649994","208,899994","196,660004","197,080002","197,080002",93916500,,"-0,050079524509184",,,,
2022-11-08,"194,020004","195,199997","186,75","191,300003","191,300003",128803400,,"-0,029328186225612",,,,
2022-11-09,"190,779999","195,889999","177,119995","177,589996","177,589996",127062700,,"-0,071667573366426",,,,
2022-11-10,"189,899994",191,"180,029999","190,720001","190,720001",132703000,,"0,073934372969973",,,,
2022-11-11,186,"196,520004","182,589996","195,970001","195,970001",114403600,,"0,027527264956338",,,,
2022-11-14,"192,770004","195,729996","186,339996","190,949997","190,949997",92226600,,"-0,025616186020227",,,,
2022-11-15,"195,880005","200,820007","192,059998","194,419998","194,419998",91293800,,"0,01817230193515",,,,
2022-11-16,"191,509995","192,570007","185,660004","186,919998","186,919998",66567600,,"-0,038576278557518",,,,
2022-11-17,"183,960007","186,160004","180,899994","183,169998","183,169998",64336000,,"-0,020062058849369",,,,
2022-11-18,"185,050003","185,190002","176,550003","180,190002","180,190002",76048900,,"-0,016269018029907",,,,
2022-11-21,"175,850006","176,770004","167,539993","167,869995","167,869995",92882700,,"-0,068372311800074",,,,
2022-11-22,"168,630005","170,919998","166,190002","169,910004","169,910004",78452300,,"0,012152314652776",,,,
2022-11-23,"173,570007","183,619995","172,5","183,199997","183,199997",109536700,,"0,07821783701447",,,,
2022-11-25,"185,059998","185,199997","180,630005","182,860001","182,860001",50672700,,"-0,001855873392836",,,,
2022-11-28,"179,960007","188,5",179,"182,919998","182,919998",92905200,,"0,000328103465339",,,,
2022-11-29,"184,990005","186,380005","178,75","180,830002","180,830002",83357100,,"-0,011425738152479",,,,
